running model M5 dataset auto_mpg file= /home/local/manuel.fernandez.delgado/artigos/comparacion_regresores/experiments/data/auto_mpg/auto_mpg_R.dat ...
#pruned: 2 values:  1 2
#smoothed: 2 values:  1  2 
#rules: 2 values:  1  2 
            progress	              pruned	            smoothed	               rules	                rmse	                best
               93.00	                 185	            0.171693
               93.02	                 186	             0.13456
               93.04	                 187	            0.138709
               93.07	                 188	            0.157386
               93.09	                 189	            0.206211
               93.11	                 190	             0.15125
               93.13	                 191	            0.136013
               93.16	                 192	            0.173482
               93.18	                 193	            0.150839
               93.20	                 194	            0.176766
               93.22	                 195	            0.140868
               93.24	                 196	            0.191564
               93.27	                 197	            0.171648
               93.29	                 198	            0.144377
               93.31	                 199	            0.153461
               93.33	                 200	            0.162849
               93.36	                 201	            0.180697
               93.38	                 202	             0.18055
               93.40	                 203	             0.15604
               93.42	                 204	            0.142124
               93.44	                 205	            0.189007
               93.47	                 206	             0.14946
               93.49	                 207	            0.214136
               93.51	                 208	            0.200927
               93.53	                 209	            0.151514
               93.56	                 210	            0.193939
               93.58	                 211	            0.146034
               93.60	                 212	            0.167432
               93.62	                 213	            0.156811
               93.64	                 214	            0.150144
               93.67	                 215	            0.162953
               93.69	                 216	            0.177961
               93.71	                 217	            0.182819
               93.73	                 218	            0.186447
               93.76	                 219	            0.142035
               93.78	                 220	            0.129596
               93.80	                 221	            0.165433
               93.82	                 222	            0.217682
               93.84	                 223	            0.165107
               93.87	                 224	            0.198147
               93.89	                 225	            0.201442
               93.91	                 226	            0.181033
               93.93	                 227	            0.156341
               93.96	                 228	            0.197002
               93.98	                 229	            0.166261
               94.00	                 230	            0.178464
               94.02	                 231	            0.169096
               94.04	                 232	            0.183727
               94.07	                 233	            0.232735
               94.09	                 234	            0.203609
               94.11	                 235	            0.187894
               94.13	                 236	            0.147092
               94.16	                 237	            0.109433
               94.18	                 238	            0.151879
               94.20	                 239	            0.218525
               94.22	                 240	            0.141683
               94.24	                 241	            0.179766
               94.27	                 242	            0.176191
               94.29	                 243	            0.172742
               94.31	                 244	            0.132314
               94.33	                 245	            0.181693
               94.36	                 246	             0.15985
               94.38	                 247	            0.151743
               94.40	                 248	            0.156132
               94.42	                 249	            0.131408
               94.44	                 250	            0.169986
               94.47	                 251	            0.185928
               94.49	                 252	            0.147093
               94.51	                 253	            0.168664
               94.53	                 254	            0.170948
               94.56	                 255	            0.171427
               94.58	                 256	            0.170461
               94.60	                 257	            0.143078
               94.62	                 258	            0.129284
               94.64	                 259	            0.190378
               94.67	                 260	            0.169301
               94.69	                 261	            0.179861
               94.71	                 262	            0.174616
               94.73	                 263	            0.176145
               94.76	                 264	            0.168625
               94.78	                 265	            0.200725
               94.80	                 266	            0.159961
               94.82	                 267	            0.191217
               94.84	                 268	            0.179183
               94.87	                 269	            0.177436
               94.89	                 270	            0.168236
               94.91	                 271	            0.166136
               94.93	                 272	            0.160615
               94.96	                 273	            0.170695
               94.98	                 274	            0.131193
               95.00	                 275	            0.164157
               95.02	                 276	            0.135576
               95.04	                 277	            0.155477
               95.07	                 278	            0.143813
               95.09	                 279	            0.189068
               95.11	                 280	            0.167861
               95.13	                 281	            0.169325
               95.16	                 282	            0.172374
               95.18	                 283	            0.158742
               95.20	                 284	            0.152414
               95.22	                 285	            0.149256
               95.24	                 286	            0.176437
               95.27	                 287	            0.172235
               95.29	                 288	             0.18083
               95.31	                 289	             0.17605
               95.33	                 290	            0.198594
               95.36	                 291	            0.209405
               95.38	                 292	            0.124008
               95.40	                 293	            0.199591
               95.42	                 294	            0.162493
               95.44	                 295	            0.180354
               95.47	                 296	            0.199396
               95.49	                 297	             0.14421
               95.51	                 298	            0.170944
               95.53	                 299	            0.154913
               95.56	                 300	            0.163801
               95.58	                 301	            0.188628
               95.60	                 302	            0.168551
               95.62	                 303	            0.190053
               95.64	                 304	             0.18538
               95.67	                 305	            0.184172
               95.69	                 306	            0.126814
               95.71	                 307	            0.177731
               95.73	                 308	            0.176074
               95.76	                 309	            0.200161
               95.78	                 310	            0.162498
               95.80	                 311	            0.170086
               95.82	                 312	            0.147633
               95.84	                 313	            0.172058
               95.87	                 314	             0.17787
               95.89	                 315	            0.215187
               95.91	                 316	            0.181811
               95.93	                 317	            0.166704
               95.96	                 318	            0.185766
               95.98	                 319	            0.143074
               96.00	                 320	            0.128379
               96.02	                 321	               0.162
               96.04	                 322	            0.156167
               96.07	                 323	            0.178051
               96.09	                 324	            0.146148
               96.11	                 325	            0.212512
               96.13	                 326	            0.182798
               96.16	                 327	            0.186435
               96.18	                 328	            0.161062
               96.20	                 329	            0.159973
               96.22	                 330	             0.17918
               96.24	                 331	            0.175728
               96.27	                 332	            0.166245
               96.29	                 333	            0.150482
               96.31	                 334	             0.19605
               96.33	                 335	            0.192235
               96.36	                 336	            0.182196
               96.38	                 337	              0.1764
               96.40	                 338	            0.130118
               96.42	                 339	            0.158517
               96.44	                 340	            0.257858
               96.47	                 341	             0.13132
               96.49	                 342	            0.163226
               96.51	                 343	            0.186798
               96.53	                 344	            0.121062
               96.56	                 345	            0.151059
               96.58	                 346	            0.156883
               96.60	                 347	            0.186597
               96.62	                 348	            0.183171
               96.64	                 349	            0.136097
               96.67	                 350	            0.155975
               96.69	                 351	            0.147182
               96.71	                 352	            0.156384
               96.73	                 353	            0.178737
               96.76	                 354	            0.169279
               96.78	                 355	            0.148822
               96.80	                 356	            0.171311
               96.82	                 357	            0.151192
               96.84	                 358	            0.152136
               96.87	                 359	            0.179419
               96.89	                 360	            0.157853
               96.91	                 361	            0.184812
               96.93	                 362	            0.208634
               96.96	                 363	            0.171504
               96.98	                 364	            0.159864
               97.00	                 365	            0.163193
               97.02	                 366	            0.145075
               97.04	                 367	            0.162861
               97.07	                 368	            0.161935
               97.09	                 369	             0.15369
               97.11	                 370	            0.156187
               97.13	                 371	            0.185888
               97.16	                 372	            0.147262
               97.18	                 373	             0.14161
               97.20	                 374	            0.145674
               97.22	                 375	            0.138977
               97.24	                 376	            0.171657
               97.27	                 377	            0.122709
               97.29	                 378	            0.180117
               97.31	                 379	            0.210032
               97.33	                 380	            0.119691
               97.36	                 381	            0.168955
               97.38	                 382	            0.122967
               97.40	                 383	            0.188441
               97.42	                 384	            0.181168
               97.44	                 385	            0.131586
               97.47	                 386	            0.172168
               97.49	                 387	            0.220694
               97.51	                 388	            0.168576
               97.53	                 389	            0.138567
               97.56	                 390	            0.142654
               97.58	                 391	            0.167058
               97.60	                 392	            0.172285
               97.62	                 393	            0.152711
               97.64	                 394	            0.166313
               97.67	                 395	            0.130112
               97.69	                 396	            0.137463
               97.71	                 397	            0.145847
               97.73	                 398	            0.205443
               97.76	                 399	            0.166929
               97.78	                 400	            0.144538
               97.80	                 401	            0.134524
               97.82	                 402	            0.170776
               97.84	                 403	            0.143338
               97.87	                 404	             0.14982
               97.89	                 405	            0.109051
               97.91	                 406	            0.149749
               97.93	                 407	            0.136975
               97.96	                 408	            0.158301
